CODE_LIGNE;LIB_LIGNE;CATLIG;RG_TRONCON;PKD;PKF;IDGAIA;X_D_L93;Y_D_L93;X_F_L93;Y_F_L93;X_D_WGS84;Y_D_WGS84;X_F_WGS84;Y_F_WGS84;C_GEO_D;C_GEO_F
226320;226320;Ligne à grande vitesse;1;;;;680120.7043000013;6870552.990699999;680375.1749000028;6874280.763999999;2.7286610137210814;48.934645213250526;2.7319616219575007;48.96817456700922;48.934645213250526, 2.7286610137210814;48.96817456700922, 2.7319616219575007
856350;856350;Ligne à grande vitesse;1;;;;926064.8015000001;6694923.555100001;926976.6909999996;6697424.741999999;5.993292346309822;47.31606774815226;6.006615312462102;47.33825611782837;47.31606774815226, 5.993292346309822;47.33825611782837, 6.006615312462102
408360;408360;Ligne à grande vitesse;1;;;;426445.7128000036;6782269.892700002;422042.95120000094;6782797.610300001;-0.6750664255494885;48.08350210294831;-0.7344629394445338;48.08638745210356;48.08350210294831, -0.6750664255494885;48.08638745210356, -0.7344629394445338
408000;408000;Ligne à grande vitesse;1;;;;512014.120099999;6775258.135200001;356566.2646000013;6788900.848000001;0.47655064299698513;48.05066778035632;-1.6171459242494537;48.110087164562756;48.05066778035632, 0.47655064299698513;48.110087164562756, -1.6171459242494537
834000;834000;Ligne à grande vitesse;1;;;;839365.4496999979;6320917.149500001;821941.3997000009;6303753.546700001;4.736921035758172;43.9734608386814;4.515715620792194;43.8222612588769;43.9734608386814, 4.736921035758172;43.8222612588769, 4.515715620792194
538311;538311;Ligne à grande vitesse;1;;;;488944.34109999985;6605314.4739000015;486875.9252000004;6602681.177200001;0.24662787832281635;46.51471703514931;0.2208746733822826;46.49036773041644;46.51471703514931, 0.24662787832281635;46.49036773041644, 0.2208746733822826
752330;752330;Ligne à grande vitesse;1;;;;845539.8685000017;6534389.0735;846812.0187000036;6527909.419100001;4.877079523246545;45.893609178211385;4.891479167107207;45.835003681058964;45.893609178211385, 4.877079523246545;45.835003681058964, 4.891479167107207
431302;431302;Ligne à grande vitesse;1;;;;608628.6767999977;6814950.261599999;608627.7458999977;6814948.549899999;1.7648117798158345;48.42840266576355;1.7647995595862573;48.42838713748173;48.42840266576355, 1.7648117798158345;48.42838713748173, 1.7647995595862573
14330;14330;Ligne à grande vitesse;1;000+000;003+060;777fdea4-e28c-11e8-92ff-01b064e0362d;996308.1374000013;6729929.189399999;998332.8316999972;6731036.1644;6.945157133678401;47.60310931058609;6.972810278228126;47.61214745484902;47.60310931058609, 6.945157133678401;47.61214745484902, 6.972810278228126
570390;570390;Ligne à grande vitesse;1;000+000;005+890;77831bd4-e28c-11e8-92ff-01b064e0362d;473857.23650000244;6504078.305300001;470972.7399000004;6499838.017299999;0.09848735388247487;45.598824512732;0.06353417406225097;45.559707882108654;45.598824512732, 0.09848735388247487;45.559707882108654, 0.06353417406225097
